DEBUG:processor.ControlUnit: Tick=1 | STAGE=FETCH | OP=load | PC=0 | R1=0 | R2=0 | R3=0 |  data={}
DEBUG:processor.ControlUnit: Tick=2 | STAGE=DECODE | OP=load | PC=0 | R1=0 | R2=0 | R3=0 |  data={}
DEBUG:processor.ControlUnit: Tick=3 | STAGE=EXECUTE | OP=load | PC=0 | R1=0 | R2=0 | R3=0 |  data={}
DEBUG:processor.ControlUnit: Tick=4 | STAGE=MEMORY | OP=load | PC=0 | R1=0 | R2=0 | R3=0 |  data={}
DEBUG:processor.ControlUnit: Tick=5 | STAGE=WRITEBACK | OP=load | PC=0 | R1=0 | R2=0 | R3=0 |  data={}
DEBUG:processor.ControlUnit: Tick=6 | STAGE=FETCH | OP=store | PC=1 | R1=0 | R2=0 | R3=0 |  data={}
DEBUG:processor.ControlUnit: Tick=7 | STAGE=DECODE | OP=store | PC=1 | R1=0 | R2=0 | R3=0 |  data={}
DEBUG:processor.ControlUnit: Tick=8 | STAGE=EXECUTE | OP=store | PC=1 | R1=0 | R2=0 | R3=0 |  data={}
DEBUG:processor.ControlUnit: Tick=9 | STAGE=MEMORY | OP=store | PC=1 | R1=0 | R2=0 | R3=0 |  data={}
DEBUG:processor.ControlUnit: Tick=10 | STAGE=WRITEBACK | OP=store | PC=1 | R1=0 | R2=0 | R3=0 |  data={0: 0}
DEBUG:processor.ControlUnit: Tick=11 | STAGE=FETCH | OP=load | PC=2 | R1=0 | R2=0 | R3=0 |  data={0: 0}
DEBUG:processor.ControlUnit: Tick=12 | STAGE=DECODE | OP=load | PC=2 | R1=0 | R2=0 | R3=0 |  data={0: 0}
DEBUG:processor.ControlUnit: Tick=13 | STAGE=EXECUTE | OP=load | PC=2 | R1=0 | R2=0 | R3=0 |  data={0: 0}
DEBUG:processor.ControlUnit: Tick=14 | STAGE=MEMORY | OP=load | PC=2 | R1=0 | R2=0 | R3=0 |  data={0: 0}
